;"Biofuels and waste";"Coal";"Crude oil";"Electricity";"Gas";"Geothermal";"Heat";"Oil products";"Others"
"1971-01-01 00:00:00";0;0;0;0;0;;0;0;
"1975-01-01 00:00:00";0;0;0;0;0;;0;0;
"1980-01-01 00:00:00";0;2621,6346;0;287,4703400000001;141,39754;;0;628,33401;21,45735
"1981-01-01 00:00:00";;2629,98494;;295,71601000000004;124,18514;;;633,1720900000001;19,25928
"1982-01-01 00:00:00";;2769,78917;;314,09141;118,34688000000001;;;638,03343;19,864040000000003
"1983-01-01 00:00:00";;2978,96635;;337,74683000000005;119,53314000000002;;;658,09518;20,852590000000003
"1984-01-01 00:00:00";;3223,3126500000008;;362,6234;124,19677000000001;;;688,55415;22,52731
"1985-01-01 00:00:00";0;3472,2993200000005;0;396,03639;138,57145000000003;;0;741,77303;23,004140000000003
"1986-01-01 00:00:00";;3459,0294899999994;;436,18315000000007;145,28196;;;799,62065;19,61981
"1987-01-01 00:00:00";;3661,06585;;483,1916100000001;152,53908;;;853,26984;19,015050000000002
"1988-01-01 00:00:00";;3915,27439;;531,75849;159,70315999999997;;;916,50215;20,934
"1989-01-01 00:00:00";;4002,2319;;570,1026;161,63374000000002;;;972,9192800000002;22,120260000000002
"1990-01-01 00:00:00";2331,17535;3621,640150000001;30,714830000000003;453,89564;103,16973000000002;0,37216000000000005;153,69045;953,17154;
"1995-01-01 00:00:00";2368,05408;4172,262500000001;15,700500000000002;766,6263400000001;105,51899000000002;13,862960000000001;226,76174000000003;1452,13343;
"2000-01-01 00:00:00";2289,42365;3192,0279500000006;26,27217;1036,5819;143,94451;29,040110000000002;296,57662999999997;2071,4193000000005;
"2005-01-01 00:00:00";1932,03375;6257,6029100000005;42,06571;1994,6147799999999;336,16515000000004;58,16163000000001;504,6373300000001;3140,57683;
"2010-01-01 00:00:00";1401,7173800000003;8219,7351;37,66957;3450,74893;700,4516400000001;138,17603;717,7454500000001;4254,1377;
"2015-01-01 00:00:00";1049,99129;8721,720790000001;39,809490000000004;4876,30781;1217,1376500000001;344,67831;968,72085;5547,614670000001;